designation,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_min_au,miss_distance_mean_au,relative_velocity_max_kms,n_close_approaches,is_potentially_hazardous_asteroid
522684,522684 (2016 JP),21.14,0.1572370824,0.3515928047,0.0307312358,0.13572758807037036,17.1959231545,27,1
523586,523586 (1999 LK1),22.11,0.100590039,0.2249261651,0.0340229814,0.11400168954137933,15.7528866893,29,0
516420,516420 (2003 FS2),19.1,0.4023045798,0.8995803882,0.2066355582,0.3118838911499999,14.5681769053,12,0
516435,516435 (2004 FJ29),21.4,0.1394938229,0.3119176705,0.1314653923,0.1536320094809524,19.6353224703,21,0
516454,516454 (2005 FN4),18.65,0.4949427609,1.1067256584,0.0415445507,0.2879896041592593,39.1360315746,27,0
516734,516734 (2009 FG1),19.1,0.4023045798,0.8995803882,0.1341681144,0.13654301188,38.0201252138,10,0
517103,517103 (2013 EM20),19.92,0.2757750529,0.6166517648,0.044031057,0.107828274365,11.6059634984,20,1
517829,517829 (2015 RL82),18.39,0.5578982211,1.2474983468,0.1145336809,0.2283781199615385,28.0440247633,26,0
518463,518463 (2005 JY80),16.97,1.0728894545,2.3990537526,0.1783464006,0.182397999,11.9928917458,2,0
518678,518678 (2008 UZ94),17.38,0.8882904164,1.9862777548,0.0311037131,0.06366938778,20.3170133737,5,1
518737,518737 (2009 OO9),18.98,0.425162524,0.9506923052,0.0868083914,0.12418448449,31.9011604867,10,0
519354,519354 (2011 KR12),21.48,0.1344481952,0.3006353038,0.1192523721,0.15101970433333334,16.1347917952,33,0
523589,523589 (2001 HA4),17.79,0.7354530894,1.644523102,0.0955973755,0.3267306750933333,39.0927957291,30,1
523590,523590 (2001 QC96),21.12,0.1586919792,0.3548460529,0.0760228704,0.1378877984,18.4760395162,24,0
523593,523593 (2001 TZ1),19.28,0.3703010782,0.828018383,0.1751026419,0.18213497280000002,22.4665468688,2,0
523596,523596 (2002 PH80),19.72,0.3023813326,0.6761452148,0.1707864004,0.2878586392666667,13.1238016463,15,0
523605,523605 (2004 RX10),21.49,0.1338304618,0.2992540101,0.0566786476,0.12951641755531915,15.4153166245,47,0
